"Commodity-wise, Market-wise Daily Report (Weighted Average) on: 18-Mar-2026"

Market Center,Arrivals,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price,Grade
Bandikui APMC,50.0,Metric Tonnes,Other,1750.0,2050.0,1900.0,Rs./Quintal,Local
Bassi APMC,216.0,Metric Tonnes,Other,1939.0,2300.0,2119.0,Rs./Quintal,Local
Bhilwara APMC,3.5,Metric Tonnes,Other,1900.0,2121.0,1980.0,Rs./Quintal,FAQ
Bijaynagar APMC,22.5,Metric Tonnes,Other,1800.0,1995.0,1850.0,Rs./Quintal,Local
Bikaner (Grain) APMC,88.0,Metric Tonnes,Other,1865.0,2050.0,2026.88,Rs./Quintal,Local
Bundi APMC,70.0,Metric Tonnes,Other,1941.0,2286.0,2114.0,Rs./Quintal,FAQ
Chomu (Grain) APMC,1485.8,Metric Tonnes,Other,2130.0,2130.0,2130.0,Rs./Quintal,Local
Dausa APMC,80.60000000000001,Metric Tonnes,Other,1995.0,5090.0,2042.0,Rs./Quintal,Local
Dei APMC,2.1,Metric Tonnes,Other,2271.0,2370.0,2300.0,Rs./Quintal,Local
Deoli APMC,23.5,Metric Tonnes,Dara,1901.0,2101.0,2001.0,Rs./Quintal,Grade Range-1
Dooni APMC,3.2,Metric Tonnes,Dara,2100.0,2330.0,2215.0,Rs./Quintal,Local
Fatehnagar APMC,14.3,Metric Tonnes,Local,1993.0,2032.0,2016.0,Rs./Quintal,FAQ
Gajsinghpur APMC,5.0,Metric Tonnes,Other,1521.0,1521.0,1521.0,Rs./Quintal,Local
Gharsana APMC,29.3,Metric Tonnes,Other,1660.0,1875.0,1850.0,Rs./Quintal,FAQ
Gulabpura APMC,7.0,Metric Tonnes,Other,1950.0,2000.0,1970.0,Rs./Quintal,FAQ
Jaipur (Grain) APMC,98.6,Metric Tonnes,Other,1970.0,1970.0,1970.0,Rs./Quintal,Grade Range-2
Jaitsar APMC,10.0,Metric Tonnes,Other,1886.0,1886.0,1886.0,Rs./Quintal,FAQ
Jhunjhunu APMC,3.8000000000000003,Metric Tonnes,Other,1900.0,2000.0,2000.0,Rs./Quintal,FAQ
Kesarisinghpur APMC,10.0,Metric Tonnes,Other,1700.0,1700.0,1700.0,Rs./Quintal,Non-FAQ
Khairthal APMC,4.800000000000001,Metric Tonnes,Other,1800.0,1850.0,1820.0,Rs./Quintal,Non-FAQ
Khajuwala APMC,7.5,Metric Tonnes,Other,1750.0,1750.0,1750.0,Rs./Quintal,Grade Range-1
Kishangarh Renwal APMC,357.20000000000005,Metric Tonnes,Other,2000.0,2100.0,2050.0,Rs./Quintal,Local
Kota APMC,2.5,Metric Tonnes,Local,2100.0,2100.0,2100.0,Rs./Quintal,Local
Kuchaman City APMC,87.5,Metric Tonnes,Local,1850.0,2000.0,1900.0,Rs./Quintal,FAQ
Lalsot APMC,186.4,Metric Tonnes,Other,1900.0,2280.0,2110.0,Rs./Quintal,Local
Madanganj Kishangarh APMC,15.9,Metric Tonnes,Other,1801.0,1940.0,1930.0,Rs./Quintal,Local
Malpura APMC,93.0,Metric Tonnes,Other,1700.0,1825.0,1800.0,Rs./Quintal,FAQ
Mandawar APMC,1.4000000000000001,Metric Tonnes,Other,1970.0,1970.0,1970.0,Rs./Quintal,FAQ
Nawalgarh APMC,60.0,Metric Tonnes,Local,1950.0,1950.0,1950.0,Rs./Quintal,Local
