"Commodity-wise, Market-wise Daily Report (Weighted Average) on: 18-Mar-2026"

Market Center,Arrivals,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price,Grade
Karmala APMC,2.8,Metric Tonnes,Other,1400.0,1600.0,1600.0,Rs./Quintal,Non-FAQ
Kopargaon APMC,4.0,Metric Tonnes,Other,1401.0,1730.0,1500.0,Rs./Quintal,Non-FAQ
Lasalgaon APMC,236.4,Metric Tonnes,Other,1100.0,1880.0,1625.0,Rs./Quintal,Non-FAQ
Lasalgaon(Niphad) APMC,48.7,Metric Tonnes,Other,1440.0,1875.0,1811.0,Rs./Quintal,Non-FAQ
Lasalgaon(Vinchur) APMC,98.8,Metric Tonnes,Other,1300.0,2399.0,1700.0,Rs./Quintal,Non-FAQ
Malkapur APMC,2740.0,Metric Tonnes,Yellow,1470.0,1655.0,1565.0,Rs./Quintal,Non-FAQ
Mohol APMC,7.5,Metric Tonnes,Deshi Red,1800.0,2000.0,1900.0,Rs./Quintal,Non-FAQ
Mumbai APMC,15.0,Metric Tonnes,Other,2500.0,3800.0,3250.0,Rs./Quintal,FAQ
Nagpur APMC,0.3,Metric Tonnes,Other,1600.0,1750.0,1712.0,Rs./Quintal,Non-FAQ
Nandura APMC,6.5,Metric Tonnes,Other,1270.0,1411.0,1411.0,Rs./Quintal,Non-FAQ
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,0.49,Metric Tonnes,Other,1700.0,1700.0,1700.0,Rs./Quintal,Local
Pachora APMC,115.0,Metric Tonnes,Other,1200.0,1611.0,1411.0,Rs./Quintal,Non-FAQ
Pachora(Bhadgaon) APMC,7.6,Metric Tonnes,Other,1200.0,1611.0,1411.0,Rs./Quintal,Non-FAQ
Paithan APMC,1.2,Metric Tonnes,Yellow,1500.0,1500.0,1500.0,Rs./Quintal,Non-FAQ
Pune APMC,0.4,Metric Tonnes,Deshi Red,2500.0,2700.0,2600.0,Rs./Quintal,FAQ
Satana APMC,291.0,Metric Tonnes,Other,1155.0,1900.0,1650.0,Rs./Quintal,Non-FAQ
Shivsiddha Govind Producer Company Limited Sanchal APMC,103.22,Metric Tonnes,Other,1380.0,1751.0,1650.0,Rs./Quintal,Local
Sillod APMC,25.7,Metric Tonnes,Yellow,1350.0,1550.0,1500.0,Rs./Quintal,Non-FAQ
Sinner APMC,10.0,Metric Tonnes,Other,1650.0,1780.0,1750.0,Rs./Quintal,Non-FAQ
Taloda APMC,1.5,Metric Tonnes,Deshi Red,1251.0,1600.0,1500.0,Rs./Quintal,Non-FAQ
Total,3900.01,Metric Tonnes,,,,1585.85,Rs./Quintal,
State Name : Odisha
Gunpur APMC,0.5,Metric Tonnes,Other,2000.0,2500.0,2250.0,Rs./Quintal,FAQ
Total,0.5,Metric Tonnes,,,,2250.0,Rs./Quintal,
State Name : Rajasthan
Atru APMC,2.1,Metric Tonnes,Other,1330.0,1522.0,1426.0,Rs./Quintal,Local
Baran APMC,50.0,Metric Tonnes,Other,1561.0,1770.0,1671.0,Rs./Quintal,Local
Begu APMC,190.0,Metric Tonnes,Other,1710.0,1710.0,1710.0,Rs./Quintal,Local
Bhilwara APMC,7.0,Metric Tonnes,Hybrid,1390.0,1610.0,1515.0,Rs./Quintal,FAQ
Bundi APMC,35.0,Metric Tonnes,Other,1351.0,1472.0,1412.0,Rs./Quintal,FAQ
Chhabra APMC,118.80000000000001,Metric Tonnes,Local,1230.0,1670.0,1450.0,Rs./Quintal,Local
Fatehnagar APMC,63.300000000000004,Metric Tonnes,Hybrid,1491.0,1800.0,1690.0,Rs./Quintal,FAQ
Iklera APMC,5.0,Metric Tonnes,Other,1500.0,1700.0,1600.0,Rs./Quintal,Local
Jhalarapatan APMC,0.9,Metric Tonnes,Other,1200.0,1400.0,1300.0,Rs./Quintal,Local
Kapasan APMC,5.5,Metric Tonnes,Hybrid,1600.0,1700.0,1650.0,Rs./Quintal,Grade Range-2
Kawai Salpura - Atru APMC,7.0,Metric Tonnes,Other,1616.0,1650.0,1633.0,Rs./Quintal,Local
Kota APMC,7.0,Metric Tonnes,Local,1550.0,1550.0,1550.0,Rs./Quintal,Local
Nahargarh APMC,15.0,Metric Tonnes,Other,1545.0,1590.0,1570.0,Rs./Quintal,Local
Pratapgarh APMC,6.4,Metric Tonnes,Other,1350.0,1691.0,1550.0,Rs./Quintal,FAQ
Total,513.0,Metric Tonnes,,,,1607.61,Rs./Quintal,
State Name : Tamil Nadu
Alangeyam APMC,7.14,Metric Tonnes,Other,1800.0,1830.0,1815.0,Rs./Quintal,Local
Kallakurichi APMC,18.04,Metric Tonnes,Other,1647.0,1827.0,1737.0,Rs./Quintal,Local
Veppur APMC,4.74,Metric Tonnes,Other,1801.0,1801.0,1801.0,Rs./Quintal,Local
Total,29.92,Metric Tonnes,,,,1765.75,Rs./Quintal,
State Name : Telangana
Husnabad APMC,0.21,Metric Tonnes,Local,1850.0,1850.0,1850.0,Rs./Quintal,Local
Kesamudram APMC,51.0,Metric Tonnes,Local,1801.0,1877.0,1869.0,Rs./Quintal,Local
Nuguru Charla APMC,102.5,Metric Tonnes,Local,2200.0,2400.0,2300.0,Rs./Quintal,FAQ
Sathupally APMC,1610.9,Metric Tonnes,Hybrid/Local,2300.0,2400.0,2350.0,Rs./Quintal,Non-FAQ
Total,1764.61,Metric Tonnes,,,,2333.13,Rs./Quintal,
State Name : Uttar Pradesh
Atrauli APMC,17.0,Metric Tonnes,Hybrid,1700.0,1800.0,1750.0,Rs./Quintal,FAQ
Charra APMC,4.0,Metric Tonnes,Hybrid,1900.0,2000.0,1950.0,Rs./Quintal,FAQ
Rura APMC,90.0,Metric Tonnes,Yellow,1925.0,1975.0,1950.0,Rs./Quintal,FAQ
Total,111.0,Metric Tonnes,,,,1919.37,Rs./Quintal,
State Name : West Bengal
Jangipur APMC,18.25,Metric Tonnes,Other,2125.0,2225.0,2175.0,Rs./Quintal,FAQ
Total,18.25,Metric Tonnes,,,,2175.0,Rs./Quintal,
Grand Total,41245.73,Metric Tonnes,,,,1718.31,Rs./Quintal,
Paddy(Basmati)
State Name : Haryana
Barwala(Hisar) APMC,55.0,Metric Tonnes,1121,4150.0,4500.0,4250.0,Rs./Quintal,Local
Uklana APMC,11.0,Metric Tonnes,1121,4180.0,4180.0,4180.0,Rs./Quintal,FAQ
Total,66.0,Metric Tonnes,,,,4238.33,Rs./Quintal,
State Name : Rajasthan
Kota APMC,623.0,Metric Tonnes,Other,3850.0,3850.0,3850.0,Rs./Quintal,Local
Total,623.0,Metric Tonnes,,,,3850.0,Rs./Quintal,
State Name : Uttar Pradesh
Bhehjoi APMC,21.0,Metric Tonnes,Basmati,2400.0,2500.0,2450.0,Rs./Quintal,Local
Kamlaganj APMC,32.0,Metric Tonnes,Basmati 1509,3000.0,3000.0,3000.0,Rs./Quintal,FAQ
Total,53.0,Metric Tonnes,,,,2782.08,Rs./Quintal,
Grand Total,742.0,Metric Tonnes,,,,3808.26,Rs./Quintal,
Paddy(Common) (MSP: Rs. 2369.00/Quintal)
State Name : Andhra Pradesh
Atmakur(SPS) APMC,1450.0,Metric Tonnes,Nellore Sanna,2300.0,2400.0,2320.0,Rs./Quintal,FAQ
Jaggampet APMC,386.0,Metric Tonnes,Common,2369.0,2379.0,2379.0,Rs./Quintal,FAQ
Rapur APMC,808.3000000000001,Metric Tonnes,Common,2390.0,2460.0,2440.0,Rs./Quintal,Local
Total,2644.3,Metric Tonnes,,,,2365.29,Rs./Quintal,
State Name : Bihar
Barbigha APMC,15.0,Metric Tonnes,Super Ponni,2370.0,2370.0,2370.0,Rs./Quintal,FAQ
Shekhpura APMC,10.0,Metric Tonnes,Super Ponni,2370.0,2370.0,2370.0,Rs./Quintal,FAQ
Total,25.0,Metric Tonnes,,,,2370.0,Rs./Quintal,
State Name : Chattisgarh
Abhanpur APMC,11.2,Metric Tonnes,I.R. 64,2100.0,2165.0,2125.0,Rs./Quintal,Non-FAQ
Ambikapur APMC,1.6,Metric Tonnes,Paddy fine,2389.0,2389.0,2389.0,Rs./Quintal,Non-FAQ
Amoda APMC,20.8,Metric Tonnes,I.R. 64,2100.0,2300.0,2200.0,Rs./Quintal,Non-FAQ
Antagarh APMC,0.5,Metric Tonnes,D.B.,2000.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
Bagbahra APMC,138.8,Metric Tonnes,MTU-1001,1700.0,1930.0,1900.0,Rs./Quintal,Non-FAQ
Baikunthpur APMC,70.0,Metric Tonnes,I.R. 36,2000.0,2000.0,2000.0,Rs./Quintal,FAQ
Balod APMC,43.0,Metric Tonnes,I.R. 64,1930.0,2010.0,2000.0,Rs./Quintal,Non-FAQ
Bandhabazar APMC,125.0,Metric Tonnes,I.R. 64,2300.0,2400.0,2400.0,Rs./Quintal,Non-FAQ
Baramkela APMC,30.0,Metric Tonnes,1001,1900.0,1900.0,1900.0,Rs./Quintal,Non-FAQ
Bardewri APMC,30.1,Metric Tonnes,I.R. 64,2100.0,2300.0,2200.0,Rs./Quintal,Non-FAQ
Basana APMC,24.2,Metric Tonnes,1001,2000.0,2010.0,2000.0,Rs./Quintal,Non-FAQ
Belargaon APMC,134.5,Metric Tonnes,I.R. 36,2010.0,2010.0,2010.0,Rs./Quintal,Non-FAQ
Bhanupratappur APMC,7.0,Metric Tonnes,Paddy Coarse,1950.0,1950.0,1950.0,Rs./Quintal,Non-FAQ
Bhatapara APMC,263.7,Metric Tonnes,Paddy Coarse,1816.0,2263.0,2185.0,Rs./Quintal,Non-FAQ
Bhatapara APMC,1243.7,Metric Tonnes,Mahamaya,2330.0,2700.0,2536.0,Rs./Quintal,FAQ
Bhatapara APMC,2.0,Metric Tonnes,Shriram,2910.0,2910.0,2910.0,Rs./Quintal,FAQ
Bhavarpur APMC,20.0,Metric Tonnes,1001,2010.0,2010.0,2010.0,Rs./Quintal,Non-FAQ
Bhoring APMC,100.0,Metric Tonnes,MTU-1010,1850.0,1850.0,1850.0,Rs./Quintal,Non-FAQ
Bilaspur APMC,50.0,Metric Tonnes,D.B.,1900.0,1900.0,1900.0,Rs./Quintal,FAQ
Boraee APMC,106.5,Metric Tonnes,I.R. 36,1900.0,1900.0,1900.0,Rs./Quintal,Non-FAQ
Charama APMC,105.0,Metric Tonnes,I.R. 64,2020.0,2020.0,2020.0,Rs./Quintal,Non-FAQ
Chhuria APMC,527.0,Metric Tonnes,MTU-1010,2400.0,2460.0,2440.0,Rs./Quintal,FAQ
Chura APMC,115.7,Metric Tonnes,1001,1800.0,1820.0,1820.0,Rs./Quintal,Non-FAQ
Dhamtari APMC,923.6,Metric Tonnes,I.R. 64,1900.0,2090.0,1980.0,Rs./Quintal,FAQ
Dhamtari APMC,5.4,Metric Tonnes,B P T,2160.0,2280.0,2270.0,Rs./Quintal,FAQ
Dhamtari APMC,1.0,Metric Tonnes,MTU-1010,1890.0,1890.0,1890.0,Rs./Quintal,FAQ
Dhamtari APMC,1.6,Metric Tonnes,Sugandha,1900.0,1900.0,1900.0,Rs./Quintal,FAQ
Dharamjaygarh APMC,2.8,Metric Tonnes,1001,2369.0,2369.0,2369.0,Rs./Quintal,FAQ
Dondi APMC,1.0,Metric Tonnes,I.R.-64,1840.0,1920.0,1850.0,Rs./Quintal,Non-FAQ
Dondilohara APMC,1.0,Metric Tonnes,I.R. 36,1900.0,1930.0,1910.0,Rs./Quintal,Non-FAQ
Dongargaon APMC,5877.9,Metric Tonnes,MTU-1010,2050.0,2085.0,2080.0,Rs./Quintal,Non-FAQ
Dudhawa APMC,16.7,Metric Tonnes,I.R. 64,2100.0,2300.0,2200.0,Rs./Quintal,Non-FAQ
Gariyaband APMC,65.0,Metric Tonnes,I.R. 64,1800.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Gattasilli APMC,193.6,Metric Tonnes,I.R. 36,1920.0,1930.0,1920.0,Rs./Quintal,Non-FAQ
Gharghoda APMC,0.8,Metric Tonnes,1001,2369.0,2369.0,2369.0,Rs./Quintal,Non-FAQ
Gidam APMC,2.0,Metric Tonnes,1001,1700.0,1900.0,1800.0,Rs./Quintal,Non-FAQ
Gurur APMC,41.4,Metric Tonnes,I.R.-64,1840.0,2050.0,1930.0,Rs./Quintal,Non-FAQ
Jaijaipur APMC,44.0,Metric Tonnes,D.B.,2000.0,2000.0,2000.0,Rs./Quintal,FAQ
Jairamnagar APMC,35.0,Metric Tonnes,D.B.,2250.0,2250.0,2250.0,Rs./Quintal,Non-FAQ
Jaspur APMC,17.8,Metric Tonnes,1001,2369.0,2369.0,2369.0,Rs./Quintal,Non-FAQ
Kanker APMC,20.0,Metric Tonnes,I.R. 64,2100.0,2300.0,2200.0,Rs./Quintal,Non-FAQ
Kasdol APMC,18.0,Metric Tonnes,D.B.,2000.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
Katghora APMC,10.0,Metric Tonnes,MTU-1010,2100.0,2100.0,2100.0,Rs./Quintal,Non-FAQ
Katghora APMC,0.8,Metric Tonnes,D.B.,2200.0,2200.0,2200.0,Rs./Quintal,Non-FAQ
Kedar APMC,5.0,Metric Tonnes,1001,1800.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Kharora APMC,152.9,Metric Tonnes,Mahamaya,2150.0,2150.0,2150.0,Rs./Quintal,Non-FAQ
Kharsiya APMC,15.5,Metric Tonnes,MTU-1010,1800.0,1850.0,1850.0,Rs./Quintal,Non-FAQ
Kheragarh APMC,50.0,Metric Tonnes,D.B.,1900.0,2100.0,2000.0,Rs./Quintal,Non-FAQ
Korar APMC,6.5,Metric Tonnes,Paddy Coarse,1950.0,1950.0,1950.0,Rs./Quintal,Non-FAQ
Kota APMC,50.0,Metric Tonnes,D.B.,1800.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Kotba APMC,1.0,Metric Tonnes,1001,2370.0,2370.0,2370.0,Rs./Quintal,Non-FAQ
Kurud APMC,711.5,Metric Tonnes,I.R. 64,1960.0,2200.0,2150.0,Rs./Quintal,FAQ
Kurud APMC,11.5,Metric Tonnes,Samba Masuri,2260.0,2448.0,2430.0,Rs./Quintal,FAQ
Kurud APMC,2.4,Metric Tonnes,MTU-1010,2000.0,2053.0,2035.0,Rs./Quintal,FAQ
Kurud APMC,42.2,Metric Tonnes,Swarna Masuri (New),2001.0,2280.0,2051.0,Rs./Quintal,FAQ
Kurud APMC,4.6,Metric Tonnes,Mahamaya,2050.0,3001.0,2480.0,Rs./Quintal,FAQ
Kurud APMC,19.0,Metric Tonnes,RB Gold,2231.0,2335.0,2319.0,Rs./Quintal,FAQ
Kurud APMC,2.6,Metric Tonnes,Om 3,2390.0,2648.0,2500.0,Rs./Quintal,FAQ
Lakhanpuri APMC,45.0,Metric Tonnes,I.R. 64,2000.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
Mahasamund APMC,200.0,Metric Tonnes,MTU-1010,1850.0,1850.0,1850.0,Rs./Quintal,Non-FAQ
Manendragarh APMC,2.2,Metric Tonnes,MTU-1010,2400.0,2400.0,2400.0,Rs./Quintal,FAQ
Munguli APMC,21.3,Metric Tonnes,Mahamaya,2500.0,2610.0,2560.0,Rs./Quintal,FAQ
Nagari APMC,234.0,Metric Tonnes,I.R. 36,1920.0,1930.0,1920.0,Rs./Quintal,Non-FAQ
Naila APMC,100.8,Metric Tonnes,D.B.,1900.0,1920.0,1900.0,Rs./Quintal,Non-FAQ
Narharpur APMC,23.0,Metric Tonnes,I.R. 64,1900.0,1920.0,1910.0,Rs./Quintal,Non-FAQ
Navapara APMC,132.2,Metric Tonnes,Paddy fine,2000.0,2020.0,2010.0,Rs./Quintal,Non-FAQ
Navapara APMC,6.2,Metric Tonnes,MTU-1010,1986.0,2110.0,2080.0,Rs./Quintal,Non-FAQ
Navapara APMC,21.5,Metric Tonnes,D.B.,1882.0,1978.0,1940.0,Rs./Quintal,Non-FAQ
Navapara APMC,1.4,Metric Tonnes,Mahamaya,2356.0,3232.0,2930.0,Rs./Quintal,FAQ
Navapara APMC,4.1,Metric Tonnes,RB Gold,2270.0,2288.0,2270.0,Rs./Quintal,Non-FAQ
Neora APMC,5.2,Metric Tonnes,Mahamaya,2010.0,2010.0,2010.0,Rs./Quintal,Non-FAQ
Pathalgaon APMC,1.0,Metric Tonnes,1001,2370.0,2370.0,2370.0,Rs./Quintal,Non-FAQ
Pendraroad APMC,203.6,Metric Tonnes,MTU-1010,2100.0,2100.0,2100.0,Rs./Quintal,FAQ
Pithoura APMC,126.0,Metric Tonnes,1001,1800.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Raigarh APMC,11.1,Metric Tonnes,Paddy Coarse,2369.0,2369.0,2369.0,Rs./Quintal,FAQ
Raipur APMC,1.8,Metric Tonnes,D.B.,1850.0,1850.0,1850.0,Rs./Quintal,Non-FAQ
Raipur APMC,343.6,Metric Tonnes,Mahamaya,2075.0,2090.0,2080.0,Rs./Quintal,Non-FAQ
Rajnandgaon APMC,0.9,Metric Tonnes,B P T,2100.0,2100.0,2100.0,Rs./Quintal,Non-FAQ
Rajnandgaon APMC,2.4,Metric Tonnes,MTU-1010,1900.0,1925.0,1913.0,Rs./Quintal,Non-FAQ
Rajnandgaon APMC,7.1,Metric Tonnes,D.B.,1860.0,1870.0,1865.0,Rs./Quintal,Non-FAQ
Rajnandgaon APMC,35.4,Metric Tonnes,Mahamaya,2400.0,2558.0,2479.0,Rs./Quintal,Non-FAQ
Rajnandgaon APMC,0.8,Metric Tonnes,Khadwan,1800.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Ramanujganj APMC,61.0,Metric Tonnes,Paddy fine,2400.0,2400.0,2400.0,Rs./Quintal,FAQ
Sakri APMC,50.2,Metric Tonnes,D.B.,1900.0,1900.0,1900.0,Rs./Quintal,Non-FAQ
Salihabhata APMC,3.24,Metric Tonnes,1001,2369.0,2369.0,2369.0,Rs./Quintal,FAQ
Sambalpur APMC,10.0,Metric Tonnes,Paddy Coarse,1950.0,1950.0,1950.0,Rs./Quintal,Non-FAQ
Sarangarh APMC,5.0,Metric Tonnes,1001,1800.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Sarayapali APMC,130.4,Metric Tonnes,MTU-1001,1750.0,2095.0,1840.0,Rs./Quintal,Non-FAQ
Sariya APMC,10.0,Metric Tonnes,1001,1900.0,1900.0,1900.0,Rs./Quintal,Non-FAQ
Sarona APMC,16.5,Metric Tonnes,I.R. 64,2100.0,2300.0,2200.0,Rs./Quintal,Non-FAQ
Sarsiwan APMC,130.8,Metric Tonnes,D.B.,1800.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Shakti APMC,56.0,Metric Tonnes,D.B.,1800.0,1900.0,1900.0,Rs./Quintal,Non-FAQ
Shakti APMC,5.0,Metric Tonnes,1001,1900.0,1900.0,1900.0,Rs./Quintal,Non-FAQ
Shivrinarayanpur APMC,90.0,Metric Tonnes,D.B.,1900.0,1900.0,1900.0,Rs./Quintal,Non-FAQ
Takhatpur APMC,10.4,Metric Tonnes,Mahamaya,2000.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
Total,13633.54,Metric Tonnes,,,,2108.72,Rs./Quintal,
State Name : Gujarat
Dahod APMC,9.700000000000001,Metric Tonnes,Other,1850.0,1930.0,1900.0,Rs./Quintal,Local
Davgadbaria(Piplod) APMC,0.2,Metric Tonnes,Common,1250.0,1280.0,1260.0,Rs./Quintal,Non-FAQ
Dehgam APMC,1.0,Metric Tonnes,Other,1900.0,2350.0,2125.0,Rs./Quintal,FAQ
Dehgam(Rekhiyal) APMC,0.4,Metric Tonnes,Other,1850.0,2250.0,2050.0,Rs./Quintal,FAQ
Devgadhbaria APMC,0.25,Metric Tonnes,Common,1250.0,1300.0,1280.0,Rs./Quintal,Non-FAQ
Khambhat(Grain Market) APMC,30.0,Metric Tonnes,Paddy,2250.0,3000.0,2625.0,Rs./Quintal,Local
Limkheda APMC,5.0,Metric Tonnes,Other,1700.0,2000.0,1850.0,Rs./Quintal,Local
Mandvi APMC,1.52,Metric Tonnes,Other,1750.0,1850.0,1800.0,Rs./Quintal,Non-FAQ
Morva Hafad APMC,1.5,Metric Tonnes,Paddy,1400.0,2100.0,1750.0,Rs./Quintal,Local
Sanad APMC,12.0,Metric Tonnes,Other,2388.0,2388.0,2388.0,Rs./Quintal,FAQ
Viramgam APMC,1.0,Metric Tonnes,Other,1650.0,1855.0,1750.0,Rs./Quintal,Local
Vyra APMC,0.2,Metric Tonnes,Common,2000.0,2050.0,2025.0,Rs./Quintal,FAQ
Total,62.77,Metric Tonnes,,,,2327.85,Rs./Quintal,
State Name : Karnataka
Bangarpet APMC,767.4000000000001,Metric Tonnes,Paddy,2000.0,2500.0,2250.0,Rs./Quintal,Local
Bhadravathi APMC,15.5,Metric Tonnes,Paddy Medium,2950.0,2950.0,2950.0,Rs./Quintal,Local
Chamaraj Nagar APMC,30.0,Metric Tonnes,Paddy Medium,2000.0,2000.0,2000.0,Rs./Quintal,Local
Dharwar APMC,20.700000000000003,Metric Tonnes,Paddy,1800.0,2400.0,2100.0,Rs./Quintal,FAQ
Haliyala APMC,154.8,Metric Tonnes,Paddy Medium,2100.0,2600.0,2350.0,Rs./Quintal,Local
Hanagal APMC,143.0,Metric Tonnes,Paddy,1900.0,2500.0,1900.0,Rs./Quintal,FAQ
Holenarsipura APMC,320.0,Metric Tonnes,Paddy,2200.0,2300.0,2300.0,Rs./Quintal,FAQ
Hunsur APMC,33.0,Metric Tonnes,Paddy,2000.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
K.R. Pet APMC,200.0,Metric Tonnes,Paddy Coarse,2000.0,2000.0,2000.0,Rs./Quintal,Local
K.R.Nagar APMC,135.70000000000002,Metric Tonnes,Paddy Dappa,2050.0,2600.0,2223.0,Rs./Quintal,FAQ
Kalagategi APMC,14.0,Metric Tonnes,Paddy,2350.0,2360.0,2352.0,Rs./Quintal,Local
Kollegal APMC,26.700000000000003,Metric Tonnes,Paddy Medium,3000.0,3000.0,3000.0,Rs./Quintal,Non-FAQ
Koppal APMC,25.200000000000003,Metric Tonnes,Paddy,3100.0,3100.0,3100.0,Rs./Quintal,Non-FAQ
Maddur APMC,296.1,Metric Tonnes,Paddy,2200.0,2500.0,2200.0,Rs./Quintal,Local
Malavalli APMC,133.8,Metric Tonnes,Paddy,2200.0,2500.0,2300.0,Rs./Quintal,FAQ
Moodigere APMC,8.0,Metric Tonnes,Sanna Bhatta,2400.0,2400.0,2400.0,Rs./Quintal,Local
Nanjangud APMC,19.0,Metric Tonnes,Paddy Jyoti,2550.0,2800.0,2550.0,Rs./Quintal,Local
Piriya Pattana APMC,20.0,Metric Tonnes,Paddy,2100.0,2100.0,2100.0,Rs./Quintal,FAQ
Raichur APMC,1.1,Metric Tonnes,Sona Mahsuri,1879.0,1879.0,1879.0,Rs./Quintal,Grade Range-1
Sakaleshpura APMC,18.0,Metric Tonnes,Paddy,2000.0,2300.0,2300.0,Rs./Quintal,Non-FAQ
Shiggauv APMC,35.0,Metric Tonnes,Paddy,2650.0,2650.0,2650.0,Rs./Quintal,Non-FAQ
Shikaripura APMC,47.6,Metric Tonnes,Paddy,2344.0,2344.0,2344.0,Rs./Quintal,Non-FAQ
Shimoga APMC,78.4,Metric Tonnes,Paddy fine,2650.0,2800.0,2650.0,Rs./Quintal,FAQ
Somvarpet APMC,5.0,Metric Tonnes,Paddy Dappa,2300.0,2300.0,2300.0,Rs./Quintal,Grade Range-1
Sorabha APMC,40.0,Metric Tonnes,Paddy,1700.0,1700.0,1700.0,Rs./Quintal,Local
T. Narasipura APMC,234.70000000000002,Metric Tonnes,Paddy,2200.0,3500.0,2500.0,Rs./Quintal,Non-FAQ
Yellapur APMC,7.6000000000000005,Metric Tonnes,Padma,2260.0,2280.0,2270.0,Rs./Quintal,FAQ
Total,2830.3,Metric Tonnes,,,,2266.19,Rs./Quintal,
State Name : Kerala
Kasargod APMC,2.0,Metric Tonnes,Other,2400.0,2600.0,2500.0,Rs./Quintal,Local
Pulpally APMC,1.0,Metric Tonnes,Other,3110.0,3130.0,3120.0,Rs./Quintal,Local
Total,3.0,Metric Tonnes,,,,2706.67,Rs./Quintal,
State Name : Madhya Pradesh
Anuppur APMC,43.0,Metric Tonnes,Dhan,2000.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
Ashoknagar APMC,15.542,Metric Tonnes,Dhan,2480.0,4000.0,4000.0,Rs./Quintal,FAQ
Baktara APMC,47.75,Metric Tonnes,Basmati,4100.0,4101.0,4101.0,Rs./Quintal,Non-FAQ
Baktara APMC,446.345,Metric Tonnes,Basmati,4010.0,4225.0,4201.0,Rs./Quintal,FAQ
Bareli APMC,88.77000000000001,Metric Tonnes,Puspa (MR 301),4200.0,4271.0,4200.0,Rs./Quintal,FAQ
Bareli APMC,20.900000000000002,Metric Tonnes,Dhan,3600.0,4200.0,3990.0,Rs./Quintal,FAQ
Bareli APMC,71.67,Metric Tonnes,Paddy,2100.0,4311.0,4311.0,Rs./Quintal,FAQ
Begamganj APMC,3.24,Metric Tonnes,Puspa (MR 301),4250.0,4250.0,4250.0,Rs./Quintal,FAQ
Begamganj APMC,5.23,Metric Tonnes,Puspa (MR 301),4300.0,4300.0,4300.0,Rs./Quintal,Non-FAQ
Bichhiya APMC,28.25,Metric Tonnes,Common,2045.0,2050.0,2050.0,Rs./Quintal,FAQ
Bichhiya APMC,10.0,Metric Tonnes,Dhan,2000.0,2000.0,2000.0,Rs./Quintal,FAQ
Bichhiya APMC,60.0,Metric Tonnes,Common,1950.0,1950.0,1950.0,Rs./Quintal,Non-FAQ
Bichhiya APMC,35.756,Metric Tonnes,Dhan,2045.0,2090.0,2090.0,Rs./Quintal,Non-FAQ
Chaurai APMC,160.5,Metric Tonnes,Paddy,1600.0,1750.0,1600.0,Rs./Quintal,FAQ
Chhindwara APMC,10.200000000000001,Metric Tonnes,Paddy,1932.0,1932.0,1932.0,Rs./Quintal,Non-FAQ
Dindori APMC,23.0,Metric Tonnes,Dhan,1925.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
Dindori APMC,86.60000000000001,Metric Tonnes,Other,1600.0,2025.0,1800.0,Rs./Quintal,Non-FAQ
Gadarwada APMC,64.3,Metric Tonnes,Paddy,2260.0,2300.0,2300.0,Rs./Quintal,Non-FAQ
Gadarwada APMC,121.16500000000002,Metric Tonnes,Basmati,3800.0,3950.0,3850.0,Rs./Quintal,Non-FAQ
Gadarwada APMC,21.785,Metric Tonnes,Puspa (MR 301),3201.0,4179.0,4179.0,Rs./Quintal,FAQ
Gairatganj APMC,70.60000000000001,Metric Tonnes,Basmati,3750.0,4250.0,3800.0,Rs./Quintal,FAQ
Ganjbasoda APMC,14.190000000000001,Metric Tonnes,Paddy,3200.0,4040.0,4040.0,Rs./Quintal,FAQ
Gorakhpur APMC,55.7,Metric Tonnes,Common,1600.0,1755.0,1700.0,Rs./Quintal,FAQ
Hanumana APMC,10.0,Metric Tonnes,Common,1650.0,1650.0,1650.0,Rs./Quintal,FAQ
Hoshangabad APMC,3.4600000000000004,Metric Tonnes,Dhan,3650.0,3650.0,3650.0,Rs./Quintal,Non-FAQ
Itarsi APMC,86.04500000000002,Metric Tonnes,Dhan,2600.0,4155.0,4120.0,Rs./Quintal,FAQ
Itarsi APMC,310.25,Metric Tonnes,Paddy,2300.0,4190.0,4135.0,Rs./Quintal,FAQ
Jabalpur APMC,2.011,Metric Tonnes,Dhan,1550.0,1660.0,1660.0,Rs./Quintal,FAQ
Jabalpur APMC,147.57000000000002,Metric Tonnes,Basmati,4150.0,4500.0,4200.0,Rs./Quintal,FAQ
Kareli APMC,187.0,Metric Tonnes,Dhan,3600.0,4350.0,4200.0,Rs./Quintal,FAQ
